COUNTRY_NAME,PASSENGERS_TO_INDIA
AFGHANISTAN,33338
AUSTRALIA,15365
AUSTRIA,10656
BAHRAIN,126564
BANGLADESH,76855
BELGIUM,16257
BHUTAN,9315
BURMA,6031
CANADA,16402
CHINA,58353
EGYPT,2914
ETHIOPIA,22678
FINLAND,10231
FRANCE,80282
GEORGIA,0
GERMANY,154028
HONG KONG,165811
IRAN,9119
IRAQ,417
ISRAEL,7132
ITALY,14840
JAPAN,34520
JORDAN,0
KAZAKHSTAN,6708
KENYA,19644
KOREA,16347
KUWAIT,105518
KYRGYZSTAN,1265
MALAYSIA,260276
MALDIVES,25315
MAURITIUS,21231
NEPAL,103104
NETHERLANDS,40613
OMAN,313849
PAKISTAN,3159
QATAR,297745
REUNION,201
RUSSIA,22424
SAUDI ARABIA,393508
SEYCHELLES,5035
SINGAPORE,394991
SOUTH AFRICA,2969
SRI LANKA,233645
SWITZERLAND,30659
TAIWAN,2149
TAJIKISTAN,1169
THAILAND,312006
TURKEY,49425
TURKMENISTAN,10538
UNITED KINGDOM,280780
UNITED STATES,99005
UZBEKISTAN,11131
VIETNAM,1231
YEMEN,2415
